AUTO_FLAG,CATA_ID,CATA_TYPE,EPI_DEPTH,EPI_LAT,EPI_LON,EQ_CATA_TYPE,EQ_TYPE,IS_DEL,LOCATION_C,LOCATION_S,LOC_STN,M,M_MB,M_MB2,M_ML,M_MS,M_MS7,NEW_DID,O_TIME,O_TIME_FRA,SAVE_TIME,SUM_STN,SYNC_TIME,id
M,CD20221225123628.00,,10,44.19,124.13,,M,,吉林松原市长岭县,,0,3.3,0,0,0,0,0,CD20221225123628,2022-12-25 12:36:27,0,2022-12-25 12:43:19,0,2022-12-25 12:43:20,44378
M,CD20221225093330.00,,11,39.53,74.85,,M,,新疆克孜勒苏州乌恰县,,0,3.6,0,0,0,0,0,CD20221225093330,2022-12-25 09:33:29,0,2022-12-25 09:41:00,0,2022-12-25 09:41:03,44377
M,CD20221225021557.00,,16,26.85,100.80,,M,,云南丽江市宁蒗县,,0,3.1,0,0,0,0,0,CD20221225021557,2022-12-25 02:15:57,0,2022-12-25 02:23:13,0,2022-12-25 02:23:14,44376
M,CD20221224233220.00,,8,24.27,98.64,,M,,云南德宏州芒市,,0,2.9,0,0,0,0,0,CD20221224233220,2022-12-24 23:32:20,0,2022-12-24 23:38:11,0,2022-12-24 23:38:12,44375
M,CC20221224163542.00,,550,28.40,138.85,,M,,日本小笠原群岛地区,,0,5.4,0,0,0,0,0,CC20221224163542,2022-12-24 16:35:41,0,2022-12-24 16:52:07,0,2022-12-24 16:52:10,44374
M,CD20221224051758.00,,11,23.08,121.36,,M,,台湾台东县海域,,0,4.7,0,0,0,0,0,CD20221224051758,2022-12-24 05:17:57,0,2022-12-24 05:32:35,0,2022-12-24 05:32:35,44373
M,CD20221223220334.00,,18,42.53,87.90,,M,,新疆巴音郭楞州和硕县,,0,3.0,0,0,0,0,0,CD20221223220334,2022-12-23 22:03:33,0,2022-12-23 22:12:01,0,2022-12-23 22:12:03,44372
M,CD20221223044112.00,,22,43.36,82.36,,M,,新疆伊犁州巩留县,,0,3.4,0,0,0,0,0,CD20221223044112,2022-12-23 04:41:11,0,2022-12-23 04:49:28,0,2022-12-23 04:49:30,44371
M,CC20221222211354.00,,140,-7.90,-74.30,,M,,秘鲁,,0,5.3,0,0,0,0,0,CC20221222211354,2022-12-22 21:13:53,0,2022-12-22 21:36:49,0,2022-12-22 21:36:56,44370
M,CD20221222123632.00,,7,22.48,121.16,,M,,台湾台东县海域,,0,4.6,0,0,0,0,0,CD20221222123632,2022-12-22 12:36:31,0,2022-12-22 12:46:02,0,2022-12-22 12:46:02,44369
M,CC20221222104703.00,,9,35.56,99.14,,M,,青海果洛州玛多县,,0,5.0,0,0,0,0,0,CC20221222104703,2022-12-22 10:47:02,0,2022-12-22 10:57:29,0,2022-12-22 10:57:30,44368
M,CC20221221010312.00,,8,23.86,114.50,,M,,广东河源市东源县,,0,3.6,0,0,0,0,0,CC20221221010312,2022-12-21 01:03:12,0,2022-12-21 01:08:54,0,2022-12-21 01:08:54,44367
M,CC20221220183427.00,,10,40.60,-124.40,,M,,美国加利福尼亚州沿岸近海,,0,6.3,0,0,0,0,0,CC20221220183427,2022-12-20 18:34:26,0,2022-12-20 18:58:22,0,2022-12-20 18:58:22,44366
M,CD20221220175437.00,,20,36.85,78.59,,M,,新疆和田地区皮山县,,0,3.7,0,0,0,0,0,CD20221220175437,2022-12-20 17:54:37,0,2022-12-20 18:02:47,0,2022-12-20 18:02:50,44365
M,CD20221220101202.00,,10,31.84,94.43,,M,,西藏那曲市巴青县,,0,3.2,0,0,0,0,0,CD20221220101202,2022-12-20 10:12:02,0,2022-12-20 10:18:14,0,2022-12-20 10:18:15,44364
M,CD20221219033756.00,,12,45.00,124.12,,M,,吉林松原市乾安县,,0,3.6,0,0,0,0,0,CD20221219033756,2022-12-19 03:37:55,0,2022-12-19 03:45:12,0,2022-12-19 03:45:12,44363
M,CD20221219010828.00,,10,28.43,85.18,,M,,西藏日喀则市吉隆县,,0,3.1,0,0,0,0,0,CD20221219010828,2022-12-19 01:08:28,0,2022-12-19 01:16:54,0,2022-12-19 01:16:55,44362
M,CD20221219000744.00,,10,33.43,84.52,,M,,西藏阿里地区改则县,,0,3.1,0,0,0,0,0,CD20221219000744,2022-12-19 00:07:43,0,2022-12-19 00:13:36,0,2022-12-19 00:13:37,44361
