所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
郫都,郫县万达,恒创蜀都公馆 ,3室2厅,西南 东北,高楼层(共24层),简装,92.47平米,91,"9,842元/平",2012年建,板楼
成华,东郊记忆,红枫岭二期 ,3室1厅,西南,中楼层(共33层),精装,122.09平米,220,"18,020元/平",2009年建,板塔结合
武侯,双楠,少陵横街34号 ,3室2厅,南,中楼层(共7层),精装,49.47平米,72,"14,555元/平",2001年建,板楼
郫都,犀浦,润扬双铁广场 ,3室2厅,西南 西北,中楼层(共29层),精装,91.25平米,155,"16,987元/平",2015年建,板塔结合
双流,蛟龙港,北京城建龙樾湾 ,3室1厅,东南,中楼层(共33层),毛坯,143.34平米,205,"14,302元/平",2014年建,板塔结合
成华,万年场,成华奥园广场一期 ,3室1厅,东北,高楼层(共31层),精装,90.71平米,240,"26,458元/平",2016年建,板塔结合
成华,东郊记忆,红枫岭三期 ,3室1厅,南,高楼层(共28层),精装,110.7平米,209,"18,880元/平",2010年建,板塔结合
成华,龙潭寺,中国铁建北湖国际城二期 ,3室1厅,西,中楼层(共35层),简装,90.1平米,155,"17,204元/平",2018年建,板塔结合
天府新区,锦江生态带,恒大天府半岛 ,2室2厅,西南,中楼层(共29层),精装,94.45平米,195,"20,646元/平",2016年建,塔楼
青羊,外金沙,米兰香洲 ,3室2厅,东南,高楼层(共18层),精装,92.62平米,186,"20,083元/平",2007年建,板楼
武侯,桐梓林,新加坡花园 ,3室2厅,北,中楼层(共11层),精装,114.6平米,210,"18,325元/平",2002年建,板塔结合
成华,万年场,隆鑫九熙 ,2室2厅,西南,低楼层(共34层),简装,77.59平米,128,"16,497元/平",2012年建,塔楼
温江,珠江新城,佳兆业丽晶港 ,3室2厅,西北,低楼层(共33层),简装,85.37平米,161,"18,860元/平",2012年建,板塔结合
武侯,桐梓林,新加坡花园 ,3室2厅,北,中楼层(共11层),精装,114.6平米,210,"18,325元/平",2002年建,板塔结合
高新,广都,龙湖九里晴川 ,3室1厅,西,高楼层(共31层),精装,110.49平米,335,"30,320元/平",2018年建,板塔结合
郫都,犀浦,万科理想城一期 ,3室2厅,西北,低楼层(共25层),精装,74.96平米,134.8,"17,983元/平",2018年建,板塔结合
温江,珠江新城,佳兆业丽晶港 ,3室2厅,西北,低楼层(共33层),简装,85.37平米,161,"18,860元/平",2012年建,板塔结合
青羊,草堂,浣花北路26号 ,3室1厅,南,中楼层(共7层),简装,106.12平米,170,"16,020元/平",2000年建,板楼
天府新区,锦江生态带,恒大天府半岛 ,2室2厅,西南,中楼层(共29层),精装,94.45平米,195,"20,646元/平",2016年建,塔楼
成华,龙潭寺,中国铁建北湖国际城二期 ,3室1厅,西,中楼层(共35层),简装,90.1平米,155,"17,204元/平",2018年建,板塔结合
锦江,东湖,东湖国际 ,3室2厅,西南,低楼层(共32层),简装,91.82平米,228,"24,832元/平",2012年建,塔楼
成华,万年场,云水苑 ,3室2厅,西,中楼层(共38层),简装,88.6平米,178,"20,091元/平",2012年建,塔楼
成华,万年场,隆鑫九熙 ,2室2厅,西南,低楼层(共34层),简装,77.59平米,128,"16,497元/平",2012年建,塔楼
郫都,红光,时代水岸康城 ,3室1厅,东南,中楼层(共25层),简装,74.55平米,75,"10,061元/平",2013年建,板塔结合
锦江,卓锦城,卓锦城五期 ,3室2厅,南,高楼层(共29层),精装,88.41平米,229,"25,903元/平",2012年建,塔楼
锦江,沙河堡,华宇广场 ,3室1厅,西北,高楼层(共31层),精装,74.39平米,200,"26,886元/平",2017年建,塔楼
高新西,高新西,上锦颐园佳境 ,3室1厅,东,低楼层(共26层),精装,92.1平米,100,"10,858元/平",2012年建,板塔结合
郫都,郫县城区,五彩城 ,3室1厅,东南,中楼层(共32层),精装,88平米,107,"12,160元/平",2015年建,塔楼
万象城,万象城,华润二十四城三期 ,3室2厅,东南,中楼层(共32层),精装,89.42平米,269.5,"30,139元/平",2012年建,板塔结合
郫都,犀浦,华邑阳光里 ,3室2厅,西南,高楼层(共30层),简装,85.48平米,140,"16,379元/平",2015年建,塔楼
金牛,营门口,锦城名都 ,3室2厅,东南,低楼层(共33层),精装,86.12平米,179,"20,785元/平",2008年建,板塔结合
成华,理工大,蓝润V客尚东二期 ,3室1厅,西,高楼层(共34层),精装,75.55平米,138,"18,267元/平",2015年建,塔楼
高新西,高新西,万景峰二期 ,3室2厅,南,高楼层(共33层),精装,76.54平米,108,"14,111元/平",2012年建,塔楼
高新,市一医院,南城都汇汇翠园一期 ,3室2厅,西南,中楼层(共16层),精装,123.18平米,355,"28,820元/平",2009年建,板塔结合
武侯,五大花园,云锦城市花园 ,2室1厅,东南,中楼层(共11层),精装,77.85平米,145,"18,626元/平",2012年建,板塔结合
成华,万年场,御龙山二期 ,3室2厅,南,低楼层(共44层),精装,88.96平米,254,"28,553元/平",2015年建,板塔结合
锦江,九眼桥,顺江路49号 ,2室1厅,西南,低楼层(共6层),精装,50.67平米,67,"13,223元/平",2000年建,板楼
青羊,府南新区,战旗东路9号 ,3室1厅,东,低楼层(共7层),精装,56.01平米,83,"14,819元/平",2001年建,板楼
高新,广都,鸿阁一号 ,1室1厅,西,中楼层(共24层),简装,59.11平米,87,"14,719元/平",2009年建,塔楼
龙泉驿,龙泉驿城区,金上城 ,3室1厅,东,低楼层(共18层),精装,91.14平米,107.9,"11,839元/平",2008年建,板塔结合
郫都,犀浦,蓝光幸福满庭 ,3室1厅,东南,高楼层(共25层),简装,73.05平米,104,"14,237元/平",2014年建,板塔结合
